rank,balanced_score,bull_entry_threshold,bear_entry_threshold,weak_score_threshold,regime_ranging_threshold_weight_add,flip_min_hold_trading_days,flip_margin_weight,entry_dominance_gap_weight,total_trades,win_rate_pct,average_return_pct,best_trade_pct,worst_trade_pct,max_drawdown_pct,average_hold_days,flip_count,cash_periods,equity_end,total_return_pct
1,0.494077,5,5,3,0.45,3,2.0,1.25,30,43.3333,0.493814,11.301585,-3.790841,15.641945,7.4,3,3,1.143237,14.323662
2,0.494077,5,5,3,0.45,3,2.0,1.5,30,43.3333,0.493814,11.301585,-3.790841,15.641945,7.4,3,3,1.143237,14.323662
3,0.494077,5,5,3,0.55,3,2.0,1.25,30,43.3333,0.493814,11.301585,-3.790841,15.641945,7.4,3,3,1.143237,14.323662
4,0.494077,5,5,3,0.55,3,2.0,1.5,30,43.3333,0.493814,11.301585,-3.790841,15.641945,7.4,3,3,1.143237,14.323662
5,0.494077,5,5,3,0.65,3,2.0,1.25,30,43.3333,0.493814,11.301585,-3.790841,15.641945,7.4,3,3,1.143237,14.323662
6,0.494077,5,5,3,0.65,3,2.0,1.5,30,43.3333,0.493814,11.301585,-3.790841,15.641945,7.4,3,3,1.143237,14.323662
7,0.494077,5,5,3,0.75,3,2.0,1.25,30,43.3333,0.493814,11.301585,-3.790841,15.641945,7.4,3,3,1.143237,14.323662
8,0.494077,5,5,3,0.75,3,2.0,1.5,30,43.3333,0.493814,11.301585,-3.790841,15.641945,7.4,3,3,1.143237,14.323662
9,0.32618,5,5,3,0.45,3,1.25,1.25,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
10,0.32618,5,5,3,0.45,3,1.25,1.5,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
11,0.32618,5,5,3,0.45,3,1.5,1.25,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
12,0.32618,5,5,3,0.45,3,1.5,1.5,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
13,0.32618,5,5,3,0.45,4,1.25,1.25,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
14,0.32618,5,5,3,0.45,4,1.25,1.5,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
15,0.32618,5,5,3,0.45,4,1.5,1.25,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
16,0.32618,5,5,3,0.45,4,1.5,1.5,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
17,0.32618,5,5,3,0.55,3,1.25,1.25,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
18,0.32618,5,5,3,0.55,3,1.25,1.5,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
19,0.32618,5,5,3,0.55,3,1.5,1.25,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
20,0.32618,5,5,3,0.55,3,1.5,1.5,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
21,0.32618,5,5,3,0.55,4,1.25,1.25,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
22,0.32618,5,5,3,0.55,4,1.25,1.5,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
23,0.32618,5,5,3,0.55,4,1.5,1.25,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
24,0.32618,5,5,3,0.55,4,1.5,1.5,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
25,0.32618,5,5,3,0.65,3,1.25,1.25,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
26,0.32618,5,5,3,0.65,3,1.25,1.5,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
27,0.32618,5,5,3,0.65,3,1.5,1.25,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
28,0.32618,5,5,3,0.65,3,1.5,1.5,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
29,0.32618,5,5,3,0.65,4,1.25,1.25,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
30,0.32618,5,5,3,0.65,4,1.25,1.5,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
31,0.32618,5,5,3,0.65,4,1.5,1.25,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
32,0.32618,5,5,3,0.65,4,1.5,1.5,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
33,0.32618,5,5,3,0.75,3,1.25,1.25,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
34,0.32618,5,5,3,0.75,3,1.25,1.5,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
35,0.32618,5,5,3,0.75,3,1.5,1.25,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
