timestamp,action,symbol,entry_price,exit_price,return_pct,hold_days,bull_strength,bear_strength,confidence,regime,reason
2025-05-22T00:00:00Z,SELL,TQQQ,480.98,511.53,6.3516,11,62,50,12,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-06-11T00:00:00Z,SELL,TQQQ,518.72,529.85,2.1457,11,88,25,62,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-06-27T00:00:00Z,SELL,TQQQ,531.1,546.07,2.8187,11,100,12,88,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-07-15T00:00:00Z,SELL,TQQQ,549.6,554.67,0.9225,11,62,25,38,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-07-31T00:00:00Z,SELL,TQQQ,555.23,562.93,1.3868,11,62,50,12,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-08-06T00:00:00Z,FLIP,SQQQ,551.84,565.23,-2.4264,3,62,25,38,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-08-20T00:00:00Z,SELL,TQQQ,565.23,563.81,-0.2512,10,25,88,62,range,daily close < EMA20 (+1); daily RSI < 50 (+1); MACD < signal (+1) | regime=range
2025-08-26T00:00:00Z,FLIP,SQQQ,561.2,570.5,-1.6572,3,75,12,62,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-09-10T00:00:00Z,SELL,TQQQ,570.5,578.56,1.4128,11,100,12,88,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-09-26T00:00:00Z,SELL,TQQQ,581.92,594.46,2.1549,11,50,38,12,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-10-10T00:00:00Z,SELL,TQQQ,598.85,588.01,-1.8101,8,25,88,62,range,daily close < EMA20 (+1); daily RSI < 50 (+1); MACD < signal (+1) | regime=range
2025-11-04T00:00:00Z,SELL,TQQQ,609.99,617.68,1.2607,11,62,50,12,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-11-10T00:00:00Z,SELL,SQQQ,610.12,621.65,-1.8898,2,62,25,38,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-11-25T00:00:00Z,FLIP,SQQQ,607.32,607.35,-0.0049,7,62,25,38,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-12-10T00:00:00Z,SELL,TQQQ,607.35,626.02,3.074,11,88,0,88,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-12-15T00:00:00Z,SELL,TQQQ,624.0,609.0,-2.4038,2,12,75,62,range,daily close < EMA20 (+1); daily RSI < 50 (+1); MACD < signal (+1) | regime=range
2025-12-19T00:00:00Z,FLIP,SQQQ,598.89,615.49,-2.7718,2,75,38,38,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-12-31T00:00:00Z,SELL,TQQQ,615.49,613.54,-0.3168,8,12,75,62,range,daily close < EMA20 (+1); daily RSI < 50 (+1); MACD < signal (+1) | regime=range
2026-01-06T00:00:00Z,FLIP,SQQQ,612.35,622.64,-1.6804,2,75,12,62,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2026-01-20T00:00:00Z,SELL,TQQQ,622.64,607.3,-2.4637,10,25,88,62,range,daily close < EMA20 (+1); daily RSI < 50 (+1); MACD < signal (+1) | regime=range
2026-02-03T00:00:00Z,SELL,TQQQ,624.68,615.75,-1.4295,6,25,88,62,range,daily close < EMA20 (+1); daily RSI < 50 (+1); MACD < signal (+1) | regime=range
2026-02-19T00:00:00Z,SELL,SQQQ,604.99,602.72,0.3752,11,38,50,12,trend_down,daily close < EMA20 (+1); daily EMA20 < EMA50 (+1); daily RSI < 50 (+1) | regime=trend_down
2026-02-25T00:00:00Z,SELL,SQQQ,600.66,615.9,-2.5372,2,75,12,62,range,daily close > EMA20 (+1); daily RSI > 50 (+1); MACD > signal (+1) | regime=range
2026-03-04T00:00:00Z,SELL,SQQQ,600.82,609.98,-1.5246,1,62,25,38,range,daily close > EMA20 (+1); daily RSI > 50 (+1); MACD > signal (+1) | regime=range
2026-03-23T00:00:00Z,SELL,SQQQ,598.99,588.0,1.8348,11,12,100,88,trend_down,daily close < EMA20 (+1); daily EMA20 < EMA50 (+1); daily RSI < 50 (+1) | regime=trend_down
2026-04-06T00:00:00Z,SELL,SQQQ,583.98,588.5,-0.774,9,62,25,38,range,daily close > EMA20 (+1); MACD > signal (+1); 4h close > EMA20 (+1) | regime=range
2026-04-23T00:00:00Z,SELL,TQQQ,606.09,651.42,7.4791,11,88,0,88,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
