timestamp,action,symbol,entry_price,exit_price,return_pct,hold_days,bull_strength,bear_strength,confidence,regime,reason
2025-05-20T00:00:00Z,SELL,TQQQ,483.6,517.77,7.0658,11,100,12,88,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-06-05T00:00:00Z,SELL,TQQQ,510.58,522.27,2.2896,11,75,38,38,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-06-23T00:00:00Z,SELL,TQQQ,527.38,529.69,0.438,11,62,50,12,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-07-09T00:00:00Z,SELL,TQQQ,537.79,554.2,3.0514,11,88,0,88,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-07-25T00:00:00Z,SELL,TQQQ,553.4,564.28,1.966,11,75,12,62,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-08-01T00:00:00Z,SELL,TQQQ,566.04,551.84,-2.5087,4,25,88,62,range,daily close < EMA20 (+1); daily RSI < 50 (+1); MACD < signal (+1) | regime=range
2025-08-19T00:00:00Z,SELL,TQQQ,562.02,567.18,0.9181,11,38,75,38,range,daily close < EMA20 (+1); MACD < signal (+1); 4h close < EMA20 (+1) | regime=range
2025-08-26T00:00:00Z,FLIP,SQQQ,563.81,570.5,-1.1866,4,75,12,62,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-09-10T00:00:00Z,SELL,TQQQ,570.5,578.56,1.4128,11,100,12,88,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-09-26T00:00:00Z,SELL,TQQQ,581.92,594.46,2.1549,11,50,38,12,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-10-10T00:00:00Z,SELL,TQQQ,597.22,588.01,-1.5421,9,25,88,62,range,daily close < EMA20 (+1); daily RSI < 50 (+1); MACD < signal (+1) | regime=range
2025-10-28T00:00:00Z,SELL,TQQQ,600.49,631.32,5.1341,11,100,12,88,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-11-06T00:00:00Z,SELL,TQQQ,634.16,610.12,-3.7908,6,25,88,62,range,daily close < EMA20 (+1); daily RSI < 50 (+1); MACD < signal (+1) | regime=range
2025-11-10T00:00:00Z,SELL,SQQQ,608.2,621.65,-2.2114,1,62,25,38,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-11-14T00:00:00Z,SELL,TQQQ,620.0,607.32,-2.0452,3,25,88,62,range,daily close < EMA20 (+1); daily RSI < 50 (+1); MACD < signal (+1) | regime=range
2025-11-25T00:00:00Z,FLIP,SQQQ,602.13,607.35,-0.8669,6,62,25,38,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-12-10T00:00:00Z,SELL,TQQQ,607.35,626.02,3.074,11,88,0,88,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-12-15T00:00:00Z,SELL,TQQQ,624.0,609.0,-2.4038,2,12,75,62,range,daily close < EMA20 (+1); daily RSI < 50 (+1); MACD < signal (+1) | regime=range
2025-12-19T00:00:00Z,FLIP,SQQQ,610.2,615.49,-0.8669,3,75,38,38,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2025-12-31T00:00:00Z,SELL,TQQQ,615.49,613.54,-0.3168,8,12,75,62,range,daily close < EMA20 (+1); daily RSI < 50 (+1); MACD < signal (+1) | regime=range
2026-01-06T00:00:00Z,FLIP,SQQQ,612.35,622.64,-1.6804,2,75,12,62,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2026-01-20T00:00:00Z,SELL,TQQQ,622.64,607.3,-2.4637,10,25,88,62,range,daily close < EMA20 (+1); daily RSI < 50 (+1); MACD < signal (+1) | regime=range
2026-01-22T00:00:00Z,SELL,SQQQ,615.51,619.98,-0.7262,1,62,25,38,trend_up,daily close > EMA20 (+1); daily EMA20 > EMA50 (+1); daily RSI > 50 (+1) | regime=trend_up
2026-02-03T00:00:00Z,SELL,TQQQ,621.94,615.75,-0.9953,7,25,88,62,range,daily close < EMA20 (+1); daily RSI < 50 (+1); MACD < signal (+1) | regime=range
2026-02-19T00:00:00Z,SELL,SQQQ,604.99,602.72,0.3752,11,38,50,12,trend_down,daily close < EMA20 (+1); daily EMA20 < EMA50 (+1); daily RSI < 50 (+1) | regime=trend_down
2026-02-25T00:00:00Z,SELL,SQQQ,608.05,615.9,-1.291,3,75,12,62,range,daily close > EMA20 (+1); daily RSI > 50 (+1); MACD > signal (+1) | regime=range
